GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-60mph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Alcohol Fuel Percentage(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Boost Pressure Commanded A(psi),Boost Pressure Commanded B(psi),Boost Pressure Sensor A(psi),Boost Pressure Sensor B(psi),Catalyst Temperature (Bank 1 Sensor 1)(°F),Catalyst Temperature (Bank 1 Sensor 2)(°F),Catalyst Temperature (Bank 2 Sensor 1)(°F),Catalyst Temperature (Bank 2 Sensor 2)(°F),Charge air cooler temperature (CACT)(°F),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Drivers demand engine % torque(%),Engine Coolant Temperature(°F),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°F),Engine reference torque(Nm),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(°F),Exhaust gas temp Bank 1 Sensor 2(°F),Exhaust gas temp Bank 1 Sensor 3(°F),Exhaust gas temp Bank 1 Sensor 4(°F),Exhaust gas temp Bank 2 Sensor 1(°F),Exhaust gas temp Bank 2 Sensor 2(°F),Exhaust gas temp Bank 2 Sensor 3(°F),Exhaust gas temp Bank 2 Sensor 4(°F),Exhaust Pressure Bank 1(psi),Exhaust Pressure Bank 2(psi),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Fuel Rate (direct from ECU)(L/m),Horsepower (At the wheels)(hp),Hybrid/EV Battery State of Health(%),Hybrid/EV System Battery Current(A),Hybrid/EV System Battery Power(W),Hybrid/EV System Battery Voltage(V),Intake Air Temperature(°F),Intake Manfold Abs Pressure A(psi),Intake Manfold Abs Pressure B(psi),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),Mass air flow sensor A(g/s),Mass air flow sensor B(g/s),Miles Per Gallon(Instant)(mpg),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Transmission Temperature(Method 2)(°F),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
-,28-Oct-2024 13:50:51.185,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,777,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,0,12.15,12.3,-
-,28-Oct-2024 13:50:51.245,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,778.5,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,-14.65,12.15,12.3,-
-,28-Oct-2024 13:50:51.283,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,778.5,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,-14.65,12.15,12.3,-
-,28-Oct-2024 13:50:51.321,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,778.5,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,-14.65,12.15,12.3,-
-,28-Oct-2024 13:50:51.363,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,778.5,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,-14.65,12.15,12.3,-
-,28-Oct-2024 13:50:51.423,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,778.5,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,-14.65,12.15,12.3,-
-,28-Oct-2024 13:50:51.458,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,777.5,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,-14.65,12.15,12.3,-
-,28-Oct-2024 13:50:51.501,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,777.5,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,-14.65,12.15,12.3,-
-,28-Oct-2024 13:50:51.538,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,777.5,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,-14.65,12.15,12.3,-
-,28-Oct-2024 13:50:51.576,-,-,-,-,-,-,4.59,3.17,-8.11,0.02,-,14.9,0,0,28.16,-,-,-,27.44,23.58,-,-,-,-,1115.96,-,-,-,-,2,-,-,-,195.8,-,0,0,-,520,777.5,-,-,-,-,-,-,-,-,-,-,0.01,30.59,-,2887.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.49,0,22.51,-,4.31,14.9,0,-,-,-14.65,12.15,12.3,-
